"","Cuadrata","Tiempo","Actinaria","Crustose coraline","Cyanobacteria","Dictyota sp.","Octocoral","Rubble","Sand","Turf","Scleractinian coral","Fleshy macroalgae","Calcareous macroalgae","Sponges","Unknown"
"1","C04",1,0,1.41705,0,12.6407,0,0,20.8135,60.4504,3.730457,0,0,0.707748,0.240141
"2","C04",2,0,0,20.1169,4.18216,0,0,18.6911,49.6434,6.1764143,0,0,0.5728386,0.617207
"3","C04",3,0,0.670098,6.52461,24.3994,0,0,7.84716,52.4582,6.1757417,1.50416,0,0.4206158,0
"4","C04",4,0,1.15092,0,8.71884,0,0,13.8588,67.909,6.8108505,0.173957,0,1.377619,0
"5","C06",1,0,0.363877,0,4.63394,0,0,1.73698,88.4973,2.629412,0.889098,0,1.046688,0.20266
"6","C06",2,2.43067,0.0671784,9.48163,6.34659,0,0,0,73.2437,2.572637,7.16574,0,0.8412262,0.910582
"7","C06",3,4.03777,0.266965,0,15.4854,0,0,0,70.1838,3.1572256,2.74251,0,1.066438,0
"8","C06",4,0.356565,0,0,6.57802,0.759753,0,0,79.2401,2.9525968,6.09373,3.146893,0.872393,0
"9","C12",1,0,2.80187,0,37.6039,0,0,0,57.2894,0.8604183,0.3117966,0,0.442402,0.690191
"10","C12",2,0,3.31169,1.68095,5.69615,0,0,0,86.2597,0.4899235,1.40403,0,1.1575273,0
"11","C12",3,0,2.82182,0,22.866,0,0,0,71.227,0.465531,0,0,0.777607,1.84205
"12","C12",4,0,3.65667,2.72455,43.0776,0,0,0,48.5119,0.443198,0,0,1.14931,0.436774
"13","C13",1,0,1.45364,0,7.29381,0,0.79399,0,82.4642,6.193726,0,0,1.535149,0.265482
"14","C13",2,0.228737,0,0.52182,2.90241,0,0.358978,0,87.4399,6.6319339,0,0,1.677428,0.238825
"15","C13",3,0,0.873077,0.493479,17.0632,0,0.283905,0,71.448,6.969718,0,0,2.868631,0
"16","C13",4,0,0.316247,0,6.16143,0,0,0,80.1175,9.2890638,0,0,4.115807,0
"17","C15",1,0,0,0,0.0736595,0,0,3.48871,81.2232,3.401892,0,0,11.555636,0.256902
"18","C15",2,0,0,0,0,0,0,2.99674,79.1849,3.554332,0,0,13.57217,0.691844
"19","C15",3,0,0,0,0,0,0,5.90452,81.0091,2.0717168,0,0,11.01465,0
"20","C15",4,1.21405,1.50192,0,0,0,0,0,83.5785,3.745678,0,0,9.95982,0
"21","C16",1,0,0,0,0,0,1.09924,5.82172,82.474,5.801049,0,0,4.803976,0
"22","C16",2,0,0.197572,1.34306,0,0,0.49361,5.98682,79.5425,5.902353,2.1962,0,4.33789,0
"23","C16",3,0,0.789949,0.352699,2.74887,0,2.19191,6.48718,72.408,5.6150483,3.74243,0,5.663921,0
"24","C16",4,0,0,0,1.37109,0,0.487552,4.9652,81.9198,5.6198227,2.0646,0,3.5718981,0
"25","C27",1,0,3.18243,0,0,0,45.6346,2.91892,47.0449,0.874322,0,0,0,0.344902
"26","C27",2,0,0.0172344,5.42554,3.01525,0,3.87645,0,84.1135,1.0724898,0,0,2.05892,0.420659
"27","C27",3,0,1.57248,0,13.2547,0,37.4273,6.89184,37.0621,1.1242038,0,0,1.23116,1.43618
"28","C27",4,0.0129142,0,0,5.54407,0,0,8.75339,74.9462,0.9762933,4.73192,0,1.28915,3.74602
"29","C28",1,0,0,1.84498,0,0,0,7.48898,79.2323,0.9776944,8.01526,1.18438,0.848692,0.407707
"30","C28",2,0,0,2.6578,0,0,0,3.70679,76.7383,1.1121348,8.83848,5.81997,0.420887,0.705637
"31","C28",3,0,0.731709,0,2.70923,0,0,0,88.1218,1.1394432,5.42987,0,1.867994,0
"32","C28",4,0,5.29662,0,5.06238,0,0,0,76.3567,1.4341361,6.46818,3.56031,1.82168,0
